PEILDATUM_LEERLINGEN;PRIKDATUM_SCORES;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEERJAAR_8;ONTHEFFING_REDEN_ND;CET_AANTAL;CET_GEM;IEP_AANTAL;IEP_GEM;ROUTE8_AANTAL;ROUTE8_GEM
20160415;20160722;13OY;00;Willem van Oranje;7546EA;ENSCHEDE; 153;Enschede;Overijssel;Bo;Protestants-Christelijk;24844;18;0;18;535,611111111111;0; ;0;
20160415;20160722;13PA;00;RKbs Bonifacius Roncalli;2405CC;ALPHEN AAN DEN RIJN; 484;Alphen aan den Rijn;Zuid-Holland;Bo;Rooms-Katholiek;28601;55;0;55;535,345454545455;0; ;0;
20160415;20160722;13PG;00;Basisschool De Duif;3205TG;SPIJKENISSE;1930;Nissewaard;Zuid-Holland;Bo;Protestants-Christelijk;45917;52;0;0; ;52;72,9230769230769;0;
20160415;20160722;13PH;00;Basissch Petrus Canisius;6511VZ;NIJMEGEN; 268;Nijmegen;Gelderland;Bo;Rooms-Katholiek;47100;25;0;26;533,461538461538;0; ;0;
20160415;20160722;13PH;01;Basissch Petrus Canisius;6512GD;NIJMEGEN; 268;Nijmegen;Gelderland;Bo;Rooms-Katholiek;47100;21;0;22;539,454545454546;0; ;0;
20160415;20160722;13PI;00;Bernadette Mariaschool;2612XZ;DELFT; 503;Delft;Zuid-Holland;Bo;Rooms-Katholiek;40928;24;2;22;534;0; ;0;
20160415;20160722;13PK;00;Chr Basisschool Rehoboth;7671RK;VRIEZENVEEN;1700;Twenterand;Overijssel;Bo;Protestants-Christelijk;61751;20;0;20;532,4;0; ;0;
20160415;20160722;13PL;00;St Nicolaas Basisschool;1131DR;VOLENDAM; 385;Edam-Volendam;Noord-Holland;Bo;Rooms-Katholiek;72853;26;0;26;536,076923076923;0; ;0;
20160415;20160722;13PM;00;SSBO De Windroos;7572DE;OLDENZAAL; 173;Oldenzaal;Overijssel;Sbo;Rooms-Katholiek;75219;47;0;0; ;0; ;0;
20160415;20160722;13PP;00;De Morgenster;8265KA;KAMPEN; 166;Kampen;Overijssel;Bo;Protestants-Christelijk;41125;35;7;0; ;0; ;28;201,25
