PEILDATUM;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;SOORT_PO;CLUSTER;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20161001;00MY;00;SSBO De Springplank;4532BX;TERNEUZEN; 715;Terneuzen;Zeeland;Sbo;nvt;Algemeen bijzonder;40876;0;6;2;6;10;15;18;25;24;12;0;0;0;0;0;0;0;0;0;0;0;0;0;118
20161001;00NT;00;Prof Dr Leo Kannerschool;2342AK;OEGSTGEEST; 579;Oegstgeest;Zuid-Holland;So;3/4;Algemeen bijzonder;30968;0;0;4;15;16;12;30;19;30;25;6;0;0;0;0;0;0;0;0;0;0;0;0;157
20161001;00NT;01;Prof Dr Leo Kannerschool;2713VM;ZOETERMEER; 637;Zoetermeer;Zuid-Holland;So;3/4;Algemeen bijzonder;30968;0;1;3;5;7;15;9;13;11;6;0;0;0;0;0;0;0;0;0;0;0;0;0;70
20161001;00NT;02;Prof. Dr. Leo Kannerschool;2352CZ;LEIDERDORP; 547;Leiderdorp;Zuid-Holland;Vso;3/4;Algemeen bijzonder;30968;0;0;0;0;0;0;0;0;0;7;18;15;21;17;6;1;0;0;0;0;0;0;0;85
20161001;00NT;03;Prof Dr Leo Kannerschool;2324JM;LEIDEN; 546;Leiden;Zuid-Holland;Vso;3/4;Algemeen bijzonder;30968;0;0;0;0;0;0;0;0;0;25;56;53;51;51;35;13;5;0;1;0;0;0;0;290
20161001;00NT;05;Prof Dr Leo Kannerschool;2343SZ;OEGSTGEEST; 579;Oegstgeest;Zuid-Holland;Vso;3/4;Algemeen bijzonder;30968;0;0;0;0;0;0;0;0;0;22;39;53;65;50;44;5;0;0;0;0;0;0;0;278
20161001;00NT;09;Prof Dr Leo Kannerschool;2342AK;OEGSTGEEST; 579;Oegstgeest;Zuid-Holland;So;3/4;Algemeen bijzonder;30968;0;0;0;1;2;4;6;8;8;3;1;1;0;0;0;0;0;0;0;0;0;0;0;34
20161001;00NT;09;Prof Dr Leo Kannerschool;2342AK;OEGSTGEEST; 579;Oegstgeest;Zuid-Holland;Vso;3/4;Algemeen bijzonder;30968;0;0;0;0;0;0;0;0;0;2;3;9;9;4;4;1;0;0;0;0;0;0;0;32
20161001;00NY;00;SSBO De Veste;4691CK;THOLEN; 716;Tholen;Zeeland;Sbo;nvt;Algemeen bijzonder;40876;0;0;2;4;5;0;5;7;10;4;0;0;0;0;0;0;0;0;0;0;0;0;0;37
20161001;00OJ;00;Klimopschool;4335XG;MIDDELBURG; 687;Middelburg;Zeeland;So;3/4;Algemeen bijzonder;41312;0;1;1;8;5;2;7;5;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;37
